comment,label,,
 자숙은 저 기 니가 좋아하는 일본가서 해라 다시 돌아 오지 말고 ,1,,
 이런 x까지 없는 넌 마른채로 살라고 팬들한테 ,1,,
 미나 좋아했는데 이말은 모순이네 본인도 통통해서 이뻐지려 살빼놓고 당신이 다세 예전처럼 살찐다면 지금 이말 인정하마 ,1,,
 네 그래서요 ,1,,
 난 참 아이오아이에서 세정이랑 미나가 좋더라 모르겠에 내 개인적으론 이 둘이 참 심성도 곱고 멋진 생각을 가진것 같음 ,0,,
 진짜 존예ㅠㅠ프듀때도 기엽고 지금은 이쁘고 기여오 ,0,,
 말라깽이는 여자들이나 좋아하는 몸매지ㅋㅋ 운동은 하기 싫고 굶어서 살 빼는 가장 원초적인 다이어트 방법은 탄력이 사라져 할매몸 되는 지름길이지 잘 먹고 운동 열심히하는 여자가 최고임 ,1,,
 옳은 말 했네 무조건 말라야지만 예쁘다는 강박관념은 진짜 버려야 함 ,0,,
 진짜 속이 썩어 문드러지겠지만 본인 잘못이 컸죠 배우자가 어떤 사람인지 제대로 확인도 안해봤으니깐 근데 시간이 진짜 약입니다 잘 추스르고 아직 살날이 창창하니깐 즐기면서 사세요 ,0,,
 아프지말고 딸과 건강하게 사세요 파이팅 ,0,,
 이혼후부터 힘들다고 동네방네 징징 거렸잖아 뭘 참아 ,1,,
 아프지말고 힘내세요 응원합니다 파이팅 ,0,,
 이혼은 죄가 아닙니다 그래도 싱글망으로 애기 키우는것 보면 훌륭합니다 아프면 표현을 하세요 속에 담으면 병되요 응원합니다 화이팅 ,0,,
 싸이월드 감성 ,1,,
 힘내시고 딸과 건강하게 잘지내세요 ,0,,
 하정우 배우로선 명품배우고 걷기 같은걸로 스트레스도 건강하게 풀고 그런다고 생각했었는데 다들 힘든것 같다 없는 사람도 많이 가진 사람도 무엇도 강요될순 없겠지만 똑같이 힘들어도 재능과 큰 부가 있다는건 진짜 신의 엄청난 축복인걸 알고 스스로를 바닥까지 끌어 내리시진 말길 ,0,,
 저희도 장난인 줄 알았어요 프로포폴 ,0,,
 광고볼때마다 그생각나 포포리 ,1,,
 억울해도 개돼지들한테 걸렸으니 앞으로 프로포폴 이미지 계속 가겠네 기사 안 읽고 쓴거 같은 댓글들이 배댓 점령한거 보면 쟤들은 검찰 경찰에서 아니라고 해도 끝까지 유죄추정을 넘어 유죄판결한다 ㅋㅋㅋ ,0,,
 푹쉬셔 ,1,,
 약중독이 심각한 문젠데 ,1,,
 하정우 노무현 ,1,,
 프로포폴 처벌 받아야하는거는 맞지만 같은 마약사범인 주지훈은 쥰나 빨아제끼면서 하정우는 또 쥰나 까는게 아이러니 ,1,,
 그럴듯하게 컨셉 잘잡고 국민이미지로왓엇는데 알맹이까보니 영 아닌거같네 ,1,,
 n번방 연예인은 누구게 ,1,,
 범죄자가 피해자 코스프레 하는거 영화에서 본거 같은데 우와 ,1,,
 해킹은 피해자 맞음 고생 많았을거 같음 근데 병원장이랑 문자보낸 시점은 혹시 언제임 말 맞춰놓으려고 한 건 아님 왜 동생 이름으로 처방을 받음 다른쪽으로 궁금한건 많은데 왜 해킹으로만 의도적으로 포커스를 몰고 감 해킹은 정말 해커가 잘못했고 하정우는 피해자고 프로포폴은 어떻게 된건지 알고싶다 ,0,,
 해킹당한건 피해자 맞네 하지만 프로포폴투약은 불법행위니 부인하지말고 처벌받아라 ,0,,
 아이돌처럼 어렸을때부터 연예계 생활했으면 진짜 무식해서 차명진료했나보다 하죠 ,0,,
 이쯤되면 차령이나 프로포폴 밝힌 해커가 의인이다 ,0,,
 제일 좋아하는 배우였는데 싫어지는것도 한순간이네 행쇼 ,1,,
 제발 아니길요 좋은결과 기대해볼께요 ,0,,
 이 분은 프로포플 했는데 티비 광고는 계속 나오네요 왜져 ,1,,
 약물 중독 ,1,,
 지금 해킹이 중요하니 프로포폴 얘기나해보세요 ,1,,
